id,brand,pattern,grip,fuel_efficiency,seasonality,price,date,source
17,dunlop,SP Sport BluResponse,Wet Grip A,Fuel Efficiency B,Summer,84.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
18,goodyear,EfficientGrip Performance,Wet Grip C,Fuel Efficiency A,Summer,94.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
20,pirelli,Cinturato P7,Wet Grip B,Fuel Efficiency C,Summer,95.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
21,goodyear,EfficientGrip Performance,Wet Grip B,Fuel Efficiency A,Summer,95.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
22,goodyear,Vector 4Seasons Gen 3,Wet Grip B,Fuel Efficiency C,All Season,95.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
23,dunlop,SP Sport BluResponse,Wet Grip B,Fuel Efficiency B,Summer,95.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
24,goodyear,EfficientGrip Performance 2,Wet Grip A,Fuel Efficiency B,Summer,97.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
26,goodyear,EfficientGrip Performance,Wet Grip B,Fuel Efficiency A,Summer,98.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
27,bridgestone,Turanza 6,Wet Grip A,Fuel Efficiency B,Summer,99.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
28,bridgestone,Turanza 6,Wet Grip A,Fuel Efficiency B,Summer,100.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
29,goodyear,EfficientGrip Performance,Wet Grip B,Fuel Efficiency C,Summer,101.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
30,goodyear,Vector 4Seasons Gen 3,Wet Grip B,Fuel Efficiency C,All Season,102.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
31,continental,ContiEcoContact 6,Wet Grip A,Fuel Efficiency A,Summer,102.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
32,continental,ContiEcoContact 5,Wet Grip B,Fuel Efficiency B,Summer,102.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
33,continental,ContiEcoContact 5,Wet Grip B,Fuel Efficiency C,Summer,102.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
34,michelin,Primacy 4,Wet Grip A,Fuel Efficiency A,Summer,103.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
35,continental,ContiEcoContact 5,Wet Grip B,Fuel Efficiency B,Summer,103.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
37,bridgestone,Turanza T005,Wet Grip B,Fuel Efficiency C,Summer,103.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
38,goodyear,Vector 4Seasons Gen-2,Wet Grip B,Fuel Efficiency B,All Season,103.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
39,continental,UltraContact,Wet Grip A,Fuel Efficiency B,Summer,104.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
40,goodyear,EfficientGrip Performance 2,Wet Grip A,Fuel Efficiency A,Summer,105.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
41,goodyear,Vector 4Seasons,Wet Grip C,Fuel Efficiency C,All Season,105.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
42,bridgestone,Turanza ER300,Wet Grip B,Fuel Efficiency D,Summer,105.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
43,continental,PremiumContact 7,Wet Grip A,Fuel Efficiency C,Summer,105.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
44,continental,ContiEcoContact 6,Wet Grip B,Fuel Efficiency A,Summer,105.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
45,continental,PremiumContact 7,Wet Grip A,Fuel Efficiency C,Summer,106.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
46,continental,All Season Contact 2,Wet Grip B,Fuel Efficiency C,All Season,106.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
47,continental,ContiPremiumContact 2,Wet Grip B,Fuel Efficiency D,Summer,106.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
48,continental,ContiEcoContact 6,Wet Grip B,Fuel Efficiency A,Summer,106.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
49,bridgestone,Turanza ER300A,Wet Grip B,Fuel Efficiency C,Summer,106.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
50,goodyear,Vector 4Seasons Gen-2,Wet Grip C,Fuel Efficiency B,All Season,106.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
51,goodyear,EfficientGrip Performance 2,Wet Grip A,Fuel Efficiency B,Summer,106.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
52,continental,UltraContact,Wet Grip A,Fuel Efficiency B,Summer,106.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
53,bridgestone,Ecopia EP150,Wet Grip B,Fuel Efficiency B,Summer,107.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
54,dunlop,Sport Maxx TT,Wet Grip C,Fuel Efficiency C,Summer,108.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
55,pirelli,Cinturato P7,Wet Grip B,Fuel Efficiency C,Summer,109.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
56,continental,UltraContact,Wet Grip A,Fuel Efficiency B,Summer,110.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
57,continental,All Season Contact 2,Wet Grip B,Fuel Efficiency B,All Season,110.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
58,continental,ContiEcoContact 6,Wet Grip B,Fuel Efficiency A,Summer,110.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
59,michelin,CrossClimate +,Wet Grip B,Fuel Efficiency B,All Season,112.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
60,bridgestone,Turanza T005,Wet Grip B,Fuel Efficiency A,Summer,113.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
61,continental,All Season Contact 2,Wet Grip B,Fuel Efficiency B,All Season,113.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
62,continental,UltraContact,Wet Grip A,Fuel Efficiency B,Summer,113.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
63,goodyear,Vector 4Seasons Gen 3,Wet Grip B,Fuel Efficiency A,All Season,113.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
64,michelin,Energy Saver +,Wet Grip A,Fuel Efficiency B,Summer,114.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
65,continental,ContiEcoContact 6,Wet Grip A,Fuel Efficiency A,Summer,114.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
66,michelin,ePrimacy,Wet Grip B,Fuel Efficiency A,Summer,115.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
67,bridgestone,Turanza 6,Wet Grip A,Fuel Efficiency B,Summer,115.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
68,bridgestone,Turanza T005,Wet Grip A,Fuel Efficiency A,Summer,116.99,2025-08-11T15:13:11.411697,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
69,pirelli,Cinturato All Season SF3,Wet Grip A,Fuel Efficiency C,All Season,117.99,2025-08-11T15:13:11.412698,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
70,dunlop,Sport Maxx RT,Wet Grip B,Fuel Efficiency C,Summer,117.99,2025-08-11T15:13:11.412698,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
71,pirelli,Cinturato P7,Wet Grip B,Fuel Efficiency D,Summer,118.99,2025-08-11T15:13:11.412698,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
72,michelin,Energy Saver,Wet Grip B,Fuel Efficiency B,Summer,119.99,2025-08-11T15:13:11.412698,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
73,continental,ContiEcoContact 5 SEAL,Wet Grip B,Fuel Efficiency B,Summer,119.99,2025-08-11T15:13:11.412698,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
74,continental,All Season Contact 2,Wet Grip B,Fuel Efficiency C,All Season,119.99,2025-08-11T15:13:11.412698,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
75,michelin,ePrimacy,Wet Grip B,Fuel Efficiency A,Summer,119.99,2025-08-11T15:13:11.412698,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
76,michelin,Michelin ePrimacy S1,Wet Grip A,Fuel Efficiency A,Summer,119.99,2025-08-11T15:13:11.412698,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
77,michelin,CrossClimate 2,Wet Grip B,Fuel Efficiency C,All Season,119.99,2025-08-11T15:13:11.412698,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
78,continental,All Season Contact 2,Wet Grip B,Fuel Efficiency C,All Season,120.99,2025-08-11T15:13:11.412698,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
79,goodyear,Vector 4Seasons Gen-2,Wet Grip B,Fuel Efficiency D,All Season,122.99,2025-08-11T15:13:11.412698,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
80,bridgestone,Turanza T005 DriveGuard,Wet Grip A,Fuel Efficiency C,Summer,123.99,2025-08-11T15:13:11.412698,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
81,continental,eContact,Wet Grip B,Fuel Efficiency A,Summer,124.99,2025-08-11T15:13:11.412698,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
82,continental,ContiEcoContact 6,Wet Grip B,Fuel Efficiency B,Summer,124.99,2025-08-11T15:13:11.412698,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
83,michelin,CrossClimate 2,Wet Grip B,Fuel Efficiency C,All Season,124.99,2025-08-11T15:13:11.412698,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
84,michelin,Primacy 4,Wet Grip B,Fuel Efficiency A,Summer,127.99,2025-08-11T15:13:11.412698,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
85,continental,WinterContact TS870,Wet Grip B,Fuel Efficiency C,Winter,128.99,2025-08-11T15:13:11.412698,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
86,bridgestone,Turanza T005,Wet Grip B,Fuel Efficiency B,Summer,131.99,2025-08-11T15:13:11.412698,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
87,michelin,Primacy 3,Wet Grip A,Fuel Efficiency D,Summer,132.99,2025-08-11T15:13:11.412698,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
88,bridgestone,Turanza ER300,Wet Grip B,Fuel Efficiency D,Summer,132.99,2025-08-11T15:13:11.412698,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
89,continental,ContiPremiumContact,Wet Grip B,Fuel Efficiency D,Summer,132.99,2025-08-11T15:13:11.412698,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
90,michelin,Pilot Sport 4,Wet Grip A,Fuel Efficiency C,Summer,133.99,2025-08-11T15:13:11.412698,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
91,michelin,Primacy 3,Wet Grip A,Fuel Efficiency D,Summer,135.99,2025-08-11T15:13:11.412698,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
92,continental,ContiEcoContact 6,Wet Grip B,Fuel Efficiency B,Summer,138.99,2025-08-11T15:13:11.412698,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
93,michelin,Primacy 4,Wet Grip B,Fuel Efficiency A,Summer,146.99,2025-08-11T15:13:11.412698,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
94,pirelli,Cinturato C3,Wet Grip A,Fuel Efficiency C,Summer,149.99,2025-08-11T15:13:11.412698,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
95,pirelli,P Zero Rosso,Wet Grip A,Fuel Efficiency D,Summer,172.99,2025-08-11T15:13:11.412698,https://www.national.co.uk//tyres-search/205-55-16?pc=S434JN
670,autogreen,Sport Chaser SC2,Wet Grip A,Fuel Efficiency D,Summer,63.99,2025-08-11T16:02:58.626427,https://www.national.co.uk//tyres-search/205-55-16?pc=S433JN
671,autogreen,All Season AS2,Wet Grip C,Fuel Efficiency C,All Season,72.99,2025-08-11T16:02:58.626427,https://www.national.co.uk//tyres-search/205-55-16?pc=S433JN
676,hankook,Ventus Prime 4 K135,Wet Grip A,Fuel Efficiency C,Summer,86.99,2025-08-11T16:02:58.626427,https://www.national.co.uk//tyres-search/205-55-16?pc=S433JN
679,hankook,Kinergy Eco 2 K435,Wet Grip B,Fuel Efficiency B,Summer,92.99,2025-08-11T16:02:58.626427,https://www.national.co.uk//tyres-search/205-55-16?pc=S433JN
680,hankook,Ventus Prime 4 K135,Wet Grip A,Fuel Efficiency C,Summer,92.99,2025-08-11T16:02:58.626427,https://www.national.co.uk//tyres-search/205-55-16?pc=S433JN
681,hankook,Kinergy 435 Eco2,Wet Grip B,Fuel Efficiency C,Summer,92.99,2025-08-11T16:02:58.626427,https://www.national.co.uk//tyres-search/205-55-16?pc=S433JN
682,hankook,Ventus Prime 4 K135,Wet Grip A,Fuel Efficiency C,Summer,95.99,2025-08-11T16:02:58.626427,https://www.national.co.uk//tyres-search/205-55-16?pc=S433JN
684,hankook,Kinergy 4S2 H750,Wet Grip B,Fuel Efficiency C,All Season,99.99,2025-08-11T16:02:58.626427,https://www.national.co.uk//tyres-search/205-55-16?pc=S433JN
688,hankook,Ventus Prime 4 K135,Wet Grip A,Fuel Efficiency C,Summer,106.99,2025-08-11T16:02:58.626427,https://www.national.co.uk//tyres-search/205-55-16?pc=S433JN
691,hankook,Ventus Prime 4 K135,Wet Grip A,Fuel Efficiency C,Summer,150.99,2025-08-11T16:02:58.626427,https://www.national.co.uk//tyres-search/205-55-16?pc=S433JN
692,hankook,Hankook iON ST AS,Wet Grip D,Fuel Efficiency B,Summer,164.99,2025-08-11T16:02:58.626427,https://www.national.co.uk//tyres-search/205-55-16?pc=S433JN
